Year,RaceNumber,RaceName,DriverNumber,Driver,Team,GridPosition,LapNumber,Compound,TyreLife,NumberPitStops_x,Tyres_change,TrackStatus,ResultStatus,QualyPosition,DriverStandings,PointsChampionship,Position,TimeLap,TimeDiffAhead,TimeDiffBehind,TimeDiffToLeader,TimePit,NumberPitStops_y,HasPitLap,DriverAhead,DriverBehind,DriverAheadPit,DriverBehindPit,GoodPitStop
2022,1,Bahrain Grand Prix,55,SAI,Ferrari,3,37,MEDIUM,4,2,1,1,Finished,3,0,0,3,00:01:36.893000,0 days 00:00:14.488000,0 days 00:00:02.436000,0 days 00:00:17.290000,0,2,0,VER,PER,0,0,0
2022,1,Bahrain Grand Prix,55,SAI,Ferrari,3,38,MEDIUM,5,2,1,1,Finished,3,0,0,3,00:01:37.012000,0 days 00:00:14.602000,0 days 00:00:02.179000,0 days 00:00:17.679000,0,2,0,VER,PER,0,0,0
2022,1,Bahrain Grand Prix,55,SAI,Ferrari,3,39,MEDIUM,6,2,1,1,Finished,3,0,0,3,00:01:37.044000,0 days 00:00:14.391000,0 days 00:00:02.122000,0 days 00:00:17.784000,0,2,0,VER,PER,0,0,0
2022,1,Bahrain Grand Prix,55,SAI,Ferrari,3,40,MEDIUM,7,2,1,1,Finished,3,0,0,3,00:01:37.271000,0 days 00:00:14.354000,0 days 00:00:02.029000,0 days 00:00:18.248000,0,2,0,VER,PER,0,0,0
2022,1,Bahrain Grand Prix,55,SAI,Ferrari,3,41,MEDIUM,8,2,1,1,Finished,3,0,0,3,00:01:36.771000,0 days 00:00:13.841000,0 days 00:00:02.897000,0 days 00:00:17.975000,0,2,0,VER,PER,0,0,0
2022,1,Bahrain Grand Prix,55,SAI,Ferrari,3,42,MEDIUM,9,2,1,1,Finished,3,0,0,3,00:01:37.269000,0 days 00:00:13.255000,0 days 00:00:02.883000,0 days 00:00:18.204000,0,2,0,VER,PER,0,0,0
2022,1,Bahrain Grand Prix,55,SAI,Ferrari,3,43,MEDIUM,10,2,1,1,Finished,3,0,0,3,00:01:37.260000,0 days 00:00:10.728000,0 days 00:00:05.851000,0 days 00:00:18.118000,0,2,0,VER,PER,1,1,0
2022,1,Bahrain Grand Prix,55,SAI,Ferrari,3,44,MEDIUM,11,2,1,1,Finished,3,0,0,2,00:01:39.699000,0 days 00:00:20.308000,0 days 00:00:06.815000,0 days 00:00:20.308000,24.287,3,1,LEC,VER,0,0,1
2022,1,Bahrain Grand Prix,55,SAI,Ferrari,3,45,SOFT,4,3,1,6,Finished,3,0,0,3,00:02:03.686000,0 days 00:00:21.124000,0 days 00:00:02.549000,0 days 00:00:46.581000,0,3,0,VER,PER,0,0,0
2022,1,Bahrain Grand Prix,55,SAI,Ferrari,3,46,SOFT,5,3,1,64,Finished,3,0,0,3,00:02:08.331000,0 days 00:00:19.514000,0 days 00:00:02.618000,0 days 00:00:49.761000,0,3,0,VER,PER,0,0,0
2022,1,Bahrain Grand Prix,55,SAI,Ferrari,3,47,SOFT,6,3,1,4,Finished,3,0,0,3,00:02:12.959000,0 days 00:00:17.691000,0 days 00:00:01.709000,0 days 00:00:18.874000,0,3,0,VER,PER,0,0,0
2022,1,Bahrain Grand Prix,55,SAI,Ferrari,3,48,SOFT,7,3,1,4,Finished,3,0,0,3,00:02:15.797000,0 days 00:00:01.724000,0 days 00:00:01.997000,0 days 00:00:03.307000,0,3,0,VER,PER,0,0,0
2022,1,Bahrain Grand Prix,55,SAI,Ferrari,3,49,SOFT,8,3,1,4,Finished,3,0,0,3,00:02:24.765000,0 days 00:00:01.115000,0 days 00:00:02.330000,0 days 00:00:01.851000,0,3,0,VER,PER,0,0,0
2022,1,Bahrain Grand Prix,55,SAI,Ferrari,3,50,SOFT,9,3,1,4,Finished,3,0,0,3,00:02:23.514000,0 days 00:00:00.121000,0 days 00:00:00.563000,0 days 00:00:00.936000,0,3,0,VER,PER,0,0,0
